Date,Sentiment
2018-06-13,0.854
2018-06-14,0.786
2018-06-15,0.78
2018-06-16,0.807
2018-06-17,0.889
2018-06-18,0.742
2018-06-19,0.742
2018-06-20,0.821
2018-06-21,0.652
2018-06-22,0.625
2018-06-23,0.817
2018-06-24,0.811
2018-06-25,0.661
2018-06-26,0.762
2018-06-27,0.733
2018-06-28,0.884
2018-06-29,0.818
2018-06-30,0.682
2018-07-01,0.918
2018-07-02,0.783
2018-07-03,0.788
2018-07-04,0.743
2018-07-05,0.883
2018-07-06,0.729
2018-07-07,0.88
2018-07-08,0.957
2018-07-09,0.836
2018-07-10,0.861
2018-07-11,0.779
2018-07-12,0.765
2018-07-13,0.736
2018-07-14,0.885
2018-07-15,0.9
2018-07-16,0.753
2018-07-17,0.788
2018-07-18,0.732
2018-07-19,0.748
2018-07-20,0.81
2018-07-21,0.783
2018-07-22,0.829
2018-07-23,0.858
2018-07-24,0.78
2018-07-25,0.829
2018-07-26,0.736
2018-07-27,0.839
2018-07-28,0.842
2018-07-29,0.714
2018-07-30,0.699
2018-07-31,0.832
2018-08-01,0.817
2018-08-02,0.816
2018-08-03,0.756
2018-08-04,0.919
2018-08-05,0.771
2018-08-06,0.769
2018-08-07,0.697
2018-08-08,0.793
2018-08-09,0.79
2018-08-10,0.824
2018-08-11,0.844
2018-08-12,0.811
2018-08-13,0.708
2018-08-14,0.74
2018-08-15,0.757
2018-08-16,0.608
2018-08-17,0.714
2018-08-18,0.719
2018-08-19,0.509
2018-08-20,0.643
2018-08-21,0.61
2018-08-22,0.777
2018-08-23,0.747
2018-08-24,0.81
2018-08-25,0.667
2018-08-26,0.738
2018-08-27,0.752
2018-08-28,0.72
2018-08-29,0.85
2018-08-30,0.687
2018-08-31,0.695
2018-09-01,0.731
2018-09-02,0.806
2018-09-03,0.843
2018-09-04,0.862
2018-09-05,0.655
2018-09-06,0.743
2018-09-07,0.776
2018-09-08,0.84
2018-09-09,0.837
2018-09-10,0.76
2018-09-11,0.825
2018-09-12,0.743
2018-09-13,0.818
2018-09-14,0.79
2018-09-15,0.758
2018-09-16,0.902
2018-09-17,0.761
2018-09-18,0.8
2018-09-19,0.776
2018-09-20,0.819
2018-09-21,0.748
2018-09-22,0.73
2018-09-23,0.821
2018-09-24,0.804
2018-09-25,0.707
2018-09-26,0.821
2018-09-27,0.731
2018-09-28,0.739
2018-09-29,0.85
2018-09-30,0.857
2018-10-01,0.877
2018-10-02,0.824
2018-10-03,0.827
2018-10-04,0.71
2018-10-05,0.824
2018-10-06,0.828
2018-10-07,0.789
2018-10-08,0.635
2018-10-09,0.788
2018-10-10,0.787
2018-10-11,0.713
2018-10-12,0.717
2018-10-13,0.861
2018-10-14,0.821
2018-10-15,0.633
2018-10-16,0.746
2018-10-17,0.712
2018-10-18,0.702
2018-10-19,0.74
2018-10-20,0.789
2018-10-21,0.829
2018-10-22,0.734
2018-10-23,0.667
2018-10-24,0.734
2018-10-25,0.722
2018-10-26,0.804
2018-10-27,0.766
2018-10-28,0.776
2018-10-29,0.691
2018-10-30,0.729
2018-10-31,0.878
2018-11-01,0.752
2018-11-02,0.79
2018-11-03,0.808
2018-11-04,0.731
2018-11-05,0.75
2018-11-06,0.887
2018-11-07,0.84
2018-11-08,0.811
2018-11-09,0.773
2018-11-10,0.846
2018-11-11,0.885
2018-11-12,0.857
2018-11-13,0.771
2018-11-14,0.773
2018-11-15,0.729
2018-11-16,0.807
2018-11-17,0.912
2018-11-18,0.794
2018-11-19,0.691
2018-11-20,0.761
2018-11-21,0.71
2018-11-22,0.967
2018-11-23,0.74
2018-11-24,0.849
2018-11-25,0.853
2018-11-26,0.792
2018-11-27,0.815
2018-11-28,0.841
2018-11-29,0.783
2018-11-30,0.879
2018-12-01,0.882
2018-12-02,0.746
2018-12-03,0.841
2018-12-04,0.809
2018-12-05,0.642
2018-12-06,0.7
2018-12-07,0.784
2018-12-08,0.667
2018-12-09,0.8
2018-12-10,0.819
2018-12-11,0.867
2018-12-12,0.841
2018-12-13,0.782
2018-12-14,0.699
2018-12-15,0.857
2018-12-16,0.78
2018-12-17,0.717
2018-12-18,0.851
2018-12-19,0.806
2018-12-20,0.674
2018-12-21,0.711
2018-12-22,0.714
2018-12-23,0.71
2018-12-24,0.68
2018-12-25,0.875
2018-12-26,0.75
2018-12-27,0.707
2018-12-28,0.741
2018-12-29,0.9
2018-12-30,0.556
2018-12-31,0.742
2019-01-01,0.902
2019-01-02,0.739
2019-01-03,0.677
2019-01-04,0.702
2019-01-05,0.792
2019-01-06,0.667
2019-01-07,0.78
2019-01-08,0.712
2019-01-09,0.855
2019-01-10,0.847
2019-01-11,0.76
2019-01-12,0.95
